Question;Correct Choice;Ground Truth Explanation;Generated Explanation (T5);Generated Explanation (LLaMA);Ground Truth Ratings;T5 Ratings;T5 Human Ratings 1;T5 Human Ratings 2;LLaMA Ratings;LLaMA Human Ratings 1;LLaMA Human Ratings 2;T5 Similarity;LLaMA Similarity;T5 BERTScore;LLaMA BERTScore;T5 BLEURT;LLaMA BLEURT
cats have how many apendages?;four legs;Appendage refers to something that is attached. Four legs are attached to cats while four paws are not. Four legs are used to walk unlike tail, whiskers and two eyes.;four legs is the most common way to describe a cat.;"Cat has two forelegs and two hind leg with five fingers in each limb; hence cat have four appendage. Insects don't have any limbs while snakes only have one pair of limbs. Mammals";"supports: 4
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 5
well_written: 0
related: 0
factual: 0
new_info: 3
unnecessary_info: 0
contrastive: 1";0.56;0.71;0.86;0.84;-0.69;-0.2
They were baking together, the instructions called for sugar so they got it out of the what?;cupboard;They got sugar out of the cupboard. They were baking together and in cupboard the instructions was called for sugar. They might not sugar from the hallway. Instructions for sugar was not in every home. Out of candy bar or soda pop, they dont get sugar.;the instructions call for sugar so they got it out of the cupboard;Cupboards usually contain utensil or dry ingredients which could include sugars and flours etc.;"supports: 4
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";0.78;0.49;0.88;0.84;-0.92;-0.74
Where do salesman work?;shop;Saleaman work ina shop. Sales take place at a shop, so salesman is required there. Frontdoor is not a place for someone to work. Salesman dont work at office or toy store. At carshow, there are no salesman.;salesman work in shop;Salesmen are those people who are involved with selling products or services. Shop is the most relevant option here as these people sell their product in shops/stalls. They don’t work anywhere else.;"supports: 4
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4 
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";0.69;0.6;0.85;0.85;-1.52;-0.23
What can you use hear other people and be heard yourself?;telephone;By using telephone, you can hear other people and get yourself be heard. Song is not a way to hear people. Radio is not used to be heard yourself.. With ears, you can hear other people but they cant hear you by your ears. Mouth cant help you to hear other people.;telephones are used to hear other people and be heard yourself.;Telephones work using sound waves which enable us to speak with someone else or listen to them without being face-to-face. Hearing aid has nothing to do with phoning. Radios also allow hearing by broadcasting audio signals through;"supports: 4
overall: 4
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 3
unnecessary_info: 0
contrastive: 1";0.75;0.64;0.89;0.85;-0.97;-0.09
The cat was annoying because it would not leave James alone.  Whenever he locked himself down for work it would find its way into where?;bedroom;One can work from the bedroom and not from outside or from the backyard. Bedroom is a room in the house unlike a microwave and meat loaf. Cats can find their way into the bedroom.;james locked himself down for work in his bedroom;Cat usually stays with their owner and cats don’t prefer staying away even if there is no food or water provided by them. So whenever james locks himself down for work ,the cat will try finding ways to reach him .James;"supports: 4
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.22;0.45;0.85;0.85;-1.41;-0.77
They said they started what at first sight, well before their first kiss?;falling in love;Falling in love is the development of strong feelings of attachment and love, usually towards another person. They said they started falling in love at first sight, well before their first kiss. Fall in love is not what started well before their first kiss, as it is about first sight before their first kiss. Smile is not what started well before their first kiss, as smiling at each other never always result in kissing. Embrace is not what started well before their first kiss, as it is not what happens in first sight. Asking questions is not what started well before their first kiss, as nobody starts asking questions at first sight.;falling in love is a common reaction to first sight.;When two people meet each other and start loving eachother then its called 'falling inlove'. It happens before their first kiss so thats why they mentioned about starting with first kiss which was incorrect.;"supports: 0
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 0
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";0.77;0.77;0.85;0.86;-0.69;-0.96
It is hard to predict a rebound in basketball, this is because the ball and rim are what?;round;Round means to be circular in shape like the ball and rim in basketball, making it hard to predict a rebound. Rim can neither be punctured nor is full of air. Rim isn’t a ball to do the other options.;basketball is a sport where the ball and rim are round.;Ball and rim both are round so there will be no way to predict which player will catch or grab it first . As we know that in basket ball game only those players who gets hold of ball has chance to score points , hence if any person gets;"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1 
unnecessary_info: 0 
contrastive: 1";"supports: 4
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";0.76;0.57;0.87;0.85;-0.86;-0.43
If you answering questions you only get credit if you're what?;correct;Credit means acknowledgement or praise given to someone when they are correct. So if you are answering questions you only get credit if you are correct. Answering questions can also be done without teaching and the other options does not give one credit while answering questions.;correct answers are given only if you are correct.;"Only by giving right answers you will receive your credits for exams or tests. So, ""if you"" must be followed by ""are correct."" This question was asked in SAT examination with some modifications.";"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 1
well_written: 1
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 3 
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.23;0.29;0.85;0.85;-0.8;-0.52
Danny thought that the show was divine.   Lila disagreed.  She didn't think it was bad, but she thought it was what?;humdrum;"Humdrum means lacking excitement or variety; boringly monotonous. Danny thought that the show was divine. Lila disagreed. She didn't think it was bad, but she thought it was humdrum. Danny thought that the show was divine means it was not godless. Danny thought that the show was divine while Lila didn’t think it bad means it wasn’t horrible. Danny thought that the show was divine means it was not undivine. It is about the show or a display and they are non-living things and cannot be termed as mortal or immortal.";humdrum is a word that describes a lack of excitement or excitement.;Humdrum refers to something ordinary or uninteresting. All the given alternatives refer to either positive or negative meanings.;"supports: 3
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";0.51;0.61;0.85;0.84;-0.74;-0.95
A percussion instrument can be obtained in what sort of place?;music store;A percussion instrument means any instrument that makes a sound when it is hit. Such instruments are usually tuned and used to compose music. Such musical instruments are obtained in a music store. Marching band does not sell perscussion instruments. Pawn shops usually do not have musical instruments.Orchestra is not a place. People usually do not always have percussion instruments in their own homes.;music stores sell percussion instruments.;Percussion instruments include drums and cymbals etc., which can only be found in musical stores or shops selling musical accessories such as guitars, violins, pianos etc.. This option is incorrect since these kinds of instruments;"supports: 3
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";0.72;0.8;0.87;0.86;-1.31;-0.51
He had only experienced tangible and corporeal events in his life, but the hippy girl opened up his what side?;spiritual;Experiences are generally two types which are caused by spiritual and corporeal events. The hippy girl opened up his spiritual side. Insubstantial and mind are not sides of a person and the other options come under spiritual.;he had only experienced tangible and corporeal events in his life, but the hippy girl opened up his spiritual side;Spiritual refers to things that relate to your soul or mind rather than physical matter such as earthly possessions. A tangible item has material substance while something incorporeal (like emotions) does not have any form or mass,;"supports: 4
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 4 
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 0 
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 2 
unnecessary_info: 0 
contrastive: 1";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 1
new_info: 3
unnecessary_info: 0
contrastive: 1";0.69;0.49;0.88;0.84;-0.27;-0.45
James was contemplating the research results.  What was James doing?;thinking;James was contemplating and thinking deeply about the research results. Contemplating answers to problems leads to discovery and excitement to buzzing and meaning to understanding, and not search results. Contemplating to think leads to reflection.;thinking is the action of contemplating.;"Contemplate means to think deeply about something or to meditate upon; to reflect upon quietly and deliberately.


";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 4
well_written: 0 
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1 
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";0.74;0.32;0.86;0.83;-1.26;-1.09
where can you sit to work on your needlepoint near your front door?;livingroom;One can sit inliving room while working on needlepoint. Also, a living room is the nearest to front door. All the other options are incorrect as one cannot sit there.;livingroom is the place to sit to work on needlepoint.;Living room has sofas which people normally sits upon while working on their crafts. People also works on projects like sewing or embroidering outside the house in backyard. Kitchen is not used for such activities. Bedrooms are usually;"supports: 3
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 1
well_written: 1
related: 0
factual: 1
new_info:  0
unnecessary_info: 1 
contrastive: 1";"supports: 3
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1 
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 1
contrastive: 1";0.76;0.61;0.89;0.87;-0.77;-0.5
I have some food that I want to eat right now, where would I put it?;plate;Most of the Food needs to be put on plate before being eaten as Plate can be used to put the food.Food cannot be put in cup as cup is used to put the liquid items.Food cannot be put in the kitchen when person wants to eat right now. Food cannot be put in the pantry when person wants to eat right now as pantry is for storing the food. Food cannot be put in the jar before eating as jar is used to store the food.;plate is the only place where you can put food.;Plate holds things we wish to consume. Things could also be held by hands if there was no plates available. Other answers don't really match up with the question asked here since none of them represent holding something or consuming something immediately after;"supports: 4
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 1 
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1 
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1 
unnecessary_info: 0 
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";0.6;0.57;0.85;0.83;-1.2;-0.63
Where might informational pamphlets be found?;library;Out of all the options, the most fesiable place is a library thta has a collection of various phamplets on all type of information. A library is a sure shot place to have informational phampalets. All the other options are not fesiable as they might not have all types of informational phamplets.;library is a place where informational pamphlets can be found.;Informational Pamphlet is available in libraries. Other places mentioned may contain information about their own services or products. But no such document will be provided by these organizations/places.;"supports: 1
overall: 3
well_written: 0
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1 
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1 
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 5
well_written: 0
related: 0
factual: 0
new_info: 3
unnecessary_info: 1
contrastive: 1";0.44;0.35;0.84;0.82;-0.8;-0.67
What can an adult do that a young child cannot in the morning?;dress herself;An adult can dress herself in the morning. A young child cannot dress herself. An adult person cant give up or drink beer or marry in the morning. Work might not be done in the morning by an adult.;adult is a person;Adults can wear clothes by themselves while children cannot do so without help. Also, adults don’t need their parents or someone else to wake them up before school while kids need help with getting ready in the mornings.;"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 1
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.53;0.69;0.83;0.88;-1.96;-0.2
Billy likes eating breakfast in bed, but he doesn't do it often.  He likes his clean sheets too much. Why doesn't he eat breakfast in bed that often?;spills;Eating breakfast in bed regularly have more chances that you can spill on bedsheet andBilly likes clean bedsheet.Spill bedsheet doesn't give pleasure.Eating in bed doesn't cause indigestion always.eating in bed cannot be as convenient as eating on dining table.eating in bed doesn't make you guilty.;spills are a common cause of not eating breakfast in bed.;Eating breakfast in bed regularly have more chances that you can spill on bedsheet andBilly likes clean bedsheet.Spill bedsheet doesn't give pleasure.Eating in bed doesn't cause indig;"supports: 3
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";0.69;0.93;0.86;0.96;-0.89;-0.08
If you're standing in line and the line isn't moving what might you feel?;anger;People feel angry when they hate something. People hate waiting in line therefore they feel anger. All other options are not feelings.;if you're standing in line and the line isn't moving what might you feel anger;In lines if there no movement then we tend to feel angry. So option (C) should be right choice. Other answers don't match with context.;"supports: 4
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";0.65;0.34;0.86;0.87;-0.79;-0.8
Where is a razor likely to be found on vacation?;suitcase;A razor is likely to be found in suitcase on vacations. Box cutter is not available on vacation. A razor cant be found in a psycho's pocket. Barber shop or medicine cabinet is not found on vacation.;suitcases are used for traveling.;Razors are used by men to shave their facial hairs so that people don't recognize them while travelling. Suitcases contain clothes which usually include trousers or jeans which needs to be ironed before wearing hence;"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 0
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 3
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";0.35;0.66;0.85;0.84;-1.09;-0.58
If you have beans while eating breakfast you may experience what?;gas;Beans is gassy food andYou may experience gas if you eat gassy food.You feel fullness after eating any food.Beans doesn't cause indigestion. You gain energy from all the food.Beans doesn't cause stomach ache usually.;beans are a source of gas.;Beans contain high amount of fiber which causes gassing effect after consumption along with food. Therefore, if you consume any kind of bean or legumes during your meal then there will definitely be a lot of burping sounds coming up in;"supports: 2
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 0
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 0
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.68;0.74;0.85;0.86;-0.91;-0.35
Where could you put a dollar that would make it hard to get out without breaking?;piggy bank;Piggy bank is a money box, typically one shaped like a pig. You could put a dollar in a piggy bank that would make it hard to get out without breaking. Cash drawers are wide mouthed from where you can easily take out or keep in a dollar. Putting dollar in a purse is also easy to get it out as you can put your hand completely in it. Boxes aren’t usually used to put a dollar but even though if you keep it you can get it out so easily. Pockets can be surfed by our hands and so pocket isn’t the hard option.;piggy bank is a place where you can put a dollar that would make it hard to get out without breaking.;Piggy banks were first used by English children during the middle ages so they had something to save money into which was difficult to open without breaking them. This explains why only option C (piggybank) fits the question correctly.;"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1 
related: 0
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";0.84;0.59;0.89;0.85;-0.85;-0.7
The man tried to run, but he could not. He could that he could only move by doing what?;walking;A person moves by walking and a person who could not run can only walk. One cant move by merely standing or standing still. He cant run, so he cant go quickly. Walking is always slow only.;walking is a way of moving.;Walking is something that every person has done since birth whereas running or flying or swimming requires special abilities which were not given him so he was unable to walk fast enough to catch up with them.;"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 1
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.57;0.59;0.84;0.84;-0.79;-0.51
