Question,Choices,Ground Truth Explanation,Correct Choice,T5 Prediction,LLaMA Prediction
A monkey with a knife was spotted picking bananas from a tree.  Where might that monkey have been?,"nigeria, brazil, south american country, rain forest, works",A monkey with knife pickign banana means he has been trained. Such monkeys can be found in various south american countries. All the other optiond are incorrect as they are not place where a monkey with knife is found.,south american country,south american country,south american country
Jane need to memorize the section because she was expected to do what to it in class?,"repeat, awake, concentrate, write out, act out",Jane memorises the lesson so that she can repeat the section in the class. All the other options are not fesiable as it is not something done during general class.,repeat,repeat,Invalid Prediction
What do you do in court to alleviate curiosity?,"search on computer, see exhibits, examine thing, hear testimony, surf net",Hear testimony is an evidence furnished by a witness under oath or affirmation and either orally or in an affidavit or deposition. We hear testimony in court to alleviate curiosity. Search on computer to lessen the curiosity in court wouldn’t help you as court proceedings are not kept on net. Exhibit is a public display in an art gallery and court is not an art gallery. Examine thing means to study something in great detail which the court is doing and not you. Surf net is to navigate through the world wide web or internet whereas court proceedings are not kept on net.,hear testimony,hear testimony,hear testimony
John opened the window and climbed out because he didn't want to listen to someone for an hour. Where might he have been?,"building, friend's house, front door, school, classroom",John opened the window of the classroom and climbed out because he didn't want to listen to someone for an hour. Friend's house is not a place where he has to listen to someone for an hour. School dont have windows but classrooms have. Front door dont have a window from which a person can climb out. John didn't climb out from the window of a building as in building he dont have to listen to someone for an hour.,classroom,classroom,classroom
Where would keep a saucepan when it's not in use?,"georgia, italian restaurant, pan house, kitchen cupboard, boiling water",Unused saucepan is kept in kitchen cupboard. Every utensil not in use are kept in kitchen cupboard. We dont go to Italian restaurant to keep saucepan. Pan house Or Georgia is not a place to keep saucepan. Saucepan cant be kept in boiling water.,kitchen cupboard,kitchen cupboard,kitchen cupboard
If I were to stand up and put my leg in front of the other leg repeatedly I would do what?,"legs ached, have to say, move around, start walking, fall down","A person can walk if he stands up. If a person puts his leg in front of the other leg repeatedly then he would start walking. Leg ached might not happen if anyone stands up. If a person have to say something they may not need to be stand up. To move around is not a relevant option.As a person repeatedly puts his leg in front of another leg, he would not going to fall down.",start walking,start walking,start walking
What is the goal of a poor person having food?,"digesting, being full, will not starve, survive, getting fat",People with less money try to eat food to survive and not starve as they are poor. Survive comes under will not starve and digestion happens automatically and is not a goal of anyone. All the other options are not affordable by poor people so that is not their goal.,will not starve,will not starve,survive
What would killing people make one of your victims do?,"prison sentence, sadness, murder, feelings of guilt, die","Die mean any living thing that stops living. Killing people make one of your victims to die. Prison sentence is for the suspect and not victim because victim is not a criminal. A victim on a death bed cannot feel sadness. Murder is of a victim and not the suspect. So, killing people doesn’t make one of your victims a murderer. Victims when assaulted for the purpose of killing don’t feel guilty as they have done nothing wrong. It is the murderer who has to worry for his deed.",die,murder,die
Who collects many a drop of blood?,"mosquito, human body, needle, slaughter house, blood bank",Blood bank collect blood to store for emergency use of needed person.Mosquito doesn't collect blood but they drink blood. human body doesn't collect blood but it consist lot of blood.needle doesn't collect blood but blood runs out if needle hurt. slaughter house doesn't collect blood but animals are killed their for food.,blood bank,blood bank,blood bank
"A friend is greeting me, what would they say?","say hello, greet, associate, socialize, smile","When two friends meet, they greet each other by saying hello. All the other options are not related to how two friends greet each other.",say hello,say hello,say hello
What is the main ingredient in making bread?,"yeast, oven, flour, bread pan, kitchen light","Without flour, one cannot make bread as it is added in large quanity. All other options are either added in small quantity or are not an ingredient.",flour,flour,flour
"Sometimes a human has an office job, being seated all day means they should big a quality and comfortable what?","chair, desk, workplace, internet cafe, submarine","Office job, being seated all day means they should have a big, good quality and a comfortable chair. Desk is not true as it is not meant for sitting for a whole day work. Workplace is not true because office jobs are to be done at a workplace. Internet café is not for sitting in an office job. Submarine is not for sitting in an office job.",chair,office,chair
John cooled the steam. What did the steam become?,"condensate, electric smoke, smoke, liquid water, cold air",Steam on cooling becomes liquid water. Steam cannot become cold air or smoke or electric smoke. ,liquid water,liquid water,liquid water
Sally was a senior in the House.  What might she be a member of?,"assisted living facility, old people's home, high school or college, republican party, organization",Republican party contains senior members. Member of republican party are senior in house. A senior may not be the member of assisted living facility. Old people's home is not a party having members. Member of high school or college are not senior in the house. One may not be senior if he is member of any organisation.,republican party,republican party,republican party
What does answering questions correctly lead to?,"embarassment, children will learn, better grade, failure, discussion",Better grade means getting more marks and answering questions correctly leads to getting more marks. Answering questions correctly does not lead to the things mentioned in the other options.,better grade,better grade,better grade
"The ticket booth informed riders that the train was running late, so where was the ticket booth located?","movie theatre, sports arena, school, metro station, auditorium",The ticket booth was located at the metro station that provides information like the train was running late to the riders. Ticket booth located at movie theater and auditorium dont give train's information. There is no ticket booth at sports arena or school.,metro station,metro station,metro station
"A skateboard can have a steep learning curve, but once the basics are mastered you can what?","relax, teenager, freedom, have fun, give up","Skating leads to fun. Any sports if mastered in basics, then it leads to fun at a later stage. Relax or freedom is not the thing, we skate for fun. Teenager is not an activity or feeling. After learning basics, no one gives up.",have fun,have fun,have fun
Simon put crayon pictures on the wall of what?,"classroom, labyrinth, zoo, art show, prison",Classroom is a place where crayon pictures can be seen. Simon put crayon pictures on the wall of classroom. Crayon pictures cant be seen on the wall of labyrinth. There are no crayon picture in zoo. Art show dont contain any crayon picture.. On the wall of a prison crayon pictures is not seen.,classroom,classroom,classroom
"He was bound to get hired quickly apply for job, he had a reputation for what?","frustration, humor, working hard, stress, rejection",Companies generally like people who work hard and hire them. So he was bound to get hired as he was hard working. Companies generally don't want to hire people with any qualities from the other options.,working hard,working hard,working hard
If you need an item is it a good idea to wait for a sale before what?,"buying, clothing store, k mart, overpriced, expensive","One waits for sale before buying. Buying from a sale is less expensive. Clothing store, overpriced or expensive is not an activity. One dont wait for a sale before kmart.",buying,k mart,buying
"She always wondered how safe it was to use her hair dryer straight after a hot shower, it was always so wet and steamy in the what?","jungle, drug store, box, beauty salon, bathroom","Bathroom is a place where people bath and freshup and hot shower is a way of bathing, so it was always so wet and steamy in the bathroom. One cannot have a hot shower in all the other options.",bathroom,bathroom,bathroom
What does a person do when something is arriving at an undisclosed time?,"washing dishes, wait patiently, stand erect, cross street, waiting room","A person does not know the exact time of arrival when the time is undisclosed. The person has to wait patiently as he is unaware of the specific time of arrival. Washing dishes is not related to something arriving at an undisclosed time. Stand erect, cross street and waiting room are irrelevant options.",wait patiently,wait patiently,wait patiently
"Bob thought that his Pokemon cards were common and worthless, but he was wrong about them. They were really what?","personal, special, shiny, rare, irregular","Bob’s Pokemon cards were rare and valuable because they were not common. Personal, special, shiny and irregular things aren't necessarily worthless and not common.",rare,special,rare
"The lizard was at the zoo, the protester stole it and returned it to the what?","wild, glass cage, restaurant, garden, galapagos archipelago",The protestor wanted to take the animal from the zoo and returned it to its original place which can anywhere in wild. While garden can be a place but it is not somewhere a lizard belongs.All the other options are also not home to lizards.,wild,wild,wild
"The people wanted to take the scenic route, they chose the highway that cut through the what?","countryside, united states, beach, atlas, developed land","Countryside highways are passing through farm’s, field’s and mountains with lush green scenic views. Whereas Atlas and Developed lands are not the option for a scenic route. Highways don’t usually cut through beaches and the whole of United States.",countryside,countryside,countryside
"He lowered and raised the bucket but it was empty, the what had run dry?","garden shed, utility closet, towards disk washer, laundry, well","A well can run dry which otherwise stores water and a bucket can be lowered into it unlike into a dishwasher. A garden shed, utility closet and a laundry do not store water.",well,well,well
"He controlled all traffic taking off and landing from the control room, what military facility did he work at?","nuclear plant, recording studio, airbase, shopping mall, building",Taking off and landing take place at airbase. Airbase is a military facility. Nuclear plant is not a military facility where someone works. Recording studio dont have taking off and landing traffic. Shopping mall or building is not a military facility.,airbase,nuclear plant,airbase
Washing hands too often can cause what?,"health, dry skin, pink hands, become wet, wet floor","Washing hands too often can cause dry skin. Health is not a correct option. Hands might not become pink by washing them too often. To become wet is not a cause. At the time of washing hands, floor might not become wet.",dry skin,dry skin,dry skin
Where might students need to use pens the most?,"backpack, office, conference, drawing, school",Students use pens and pencils to study. Students come to school for studying. Students use pens mostly at school. Backpack is not a place to study. Students do not go to office or conferences. Students generally do not use pens for drawing.,school,school,school
John needed a new lock to lock his antique pirate artifact. What might that artifact be?,"plastic sword, ignition switch, controlling access, drawer, firearm","Out of all the options, a firearm is the most expensive and antique firearm would be costly and need protection through locks. All other options even if are antique are not as costly as the firearm.",firearm,firearm,firearm
"What would anyone want to do during a hot day, even if they cannot swim or have alergies?","cool off, dive, eat ice cream, buy beer, wear shorts","On a hot day, one would like to cool off even if they cannot swim or have allergies. Dive is not true as he cannot swim. Eat ice cream is not true because it cools you for short time. Buying beer also is not true as one can’t get rid of hot days by drinking beer. Wear shorts is also not true as it does not lower down the temperature of a hot day.",cool off,cool off,cool off
Where would a local terrorist end up if they are caught?,"airport, hijack planes, prison, hotel, afghanistan",Prison is a place where almost all terrorist ends. The local terrorists are caught and end up in prison. Airport isnt a place to end up terrorist. Terrorists cant be end up at hijack planes. Local terrorists dont end up in hotel. A local terrorist dont go to afghanistan for end up.,prison,prison,airport
"Sometimes when animals meet, what happens?","fight each other, procreate, sleep, live lives, listen to each other","Animals fight for various reasons like food, territory, sex and similar situations, and sometimes when animals meet, it might turn out as such situations so they fight each other. Animals live life all the time and might not do the things in the other options just after meeting.",fight each other,fight each other,fight each other
Where would you put your garden?,"park, fence, ground, backyard, balcony",Ground is the solid surface of land on earth. We can put a garden on the ground. Parks and backyards are on ground too. Gardens cannot be put on in the other options.,ground,ground,ground
Where do people go to pray?,"go to church, kneel, ground, ignorance, speak to god","people go to church for praying . speak to god, kneel and ignorance are not a place to pray.Prayer is not done at ground.",go to church,go to church,go to church
James was hit on the head and suffered a concussion.  He found himself losing consciousness at annoying times.  He also suffered from something else.  What was it?,"coma, falling down, pain, death, forgetfulness",James had suffered a head injury which led to consussions and forgetfullness as brain is the part of human body that remembers things. Both death and coma are wrong as he is fully alive. Falling down does not make sense and pain is what is felt during such injuries.,forgetfulness,forgetfulness,forgetfulness
"If I wanted to analyze some material, where should I go?","city hall, anything, fabric store, physical world, science lab","Out of all the options, a science lab is place where one can go to analyze material. All the other options are not a place where one can go to analyze material.",science lab,science lab,science lab
"The exercise involved long and deep breathing, this slowed the heart and led to what?","warm air, stay alive, calmness, living, relaxation","Relaxation results from long and deep breathing and it slows down the heart. Heart does not slow down because of warm air, staying alive, calmness or living.",relaxation,relaxation,warm air
"If you were Greek and saw a shark here, where are you?","pool hall, mediterranean sea, seafood restaurant, gulf of mexico, south pacific",Mediterranean sea is in Greace. Sharks live inmediterranean sea. there is no shark at a pool hall. Seafood restaurant or Gulf of mexico dont contain sharks. South pacific is not in Greace.,mediterranean sea,mediterranean sea,mediterranean sea
What is the opposite of foolhardy?,"thoughtful, discreet, calculated, cautious, careful",a foolhardy is a person who does not think and its opposite is thoughtful which means someone who thinks. All the other options are not fesiable as they do not mean opposite of foolhardy.,thoughtful,thoughtful,thoughtful
What could have a knob and emits light and sound?,"television, doorway, uncle fred, hardware store, control panel",Television is a device with a screen for receiving television signals. Television could have a knob and emits light and sound. Doorway has a knob but does not emit light and sound. Uncle Fred is a fictional character and doesn’t have a knob and emits light and sound. Hardware store sells knob but don’t have a knob and emits light and sound. Control panel is an electrical device and doesn’t have a knob and emits light and sound.,television,television,television
"If you are deep in a cave, what would you follow to find your way out?","deepfelt, light, high, frivolous, mountain","Light is the natural agent that stimulates sight and makes things visible. If you are deep in a cave, we would follow a light to find our way out. Deepfelt is a feeling expressed and cannot be followed to find our way out. You are in a deep cave and you want to find your way out at a higher place which is high and not what you would follow. Frivolous is joking which cannot be helpful in finding your way out. Mountains are spread in a very large area and not helpful in finding a way out as you can’t see it from deep in a cave.",light,light,light
What is a clever way to say someone isn't very good at what they do?,"clumsy, dull, stupid, dummy, ineffectual","Ineffectual refers to not producing desired effect. One who is not good at what they do can be ineffectual. Calling one an ineffectual is clever unlike calling one clumsy, dull, stupid or dummy.",ineffectual,ineffectual,ineffectual
There is often a final exam at the end of each quarter of what?,"quarterlight, hour, school year, semester, hundredweight",Quarter is part of a year and Exams are held in school so school year fits here. Quarter is not part of a quarterlight or a hundredweight. Quarter cannot be a part of an hour. Semester itself is a part of a school year,school year,school year,semester
"The person was frustrated when she couldn't find what she was looking for online, what did she desire?","food and water, acknowledgment, freedom of information, information, freedom of expression","Freedom of expression, speech and information is a judicial right in a democratic country. One can find all kinds of information online. When one is unable to access some information, one gets frustrated. In such cases, the person's freedom to information is hindered. A person usually does not desire food and water online. Finding something online does not mean getting acknowledgment. Information is an irrelevant option. Freedom of expression cannot be obtained by looking for something online.",freedom of information,freedom of information,freedom of information
"The exhausted man needed to have rest, he soon fell to what?","relax, sit down, sleep, his death, closing eyes",Exhausted means loss of all energy and losing all energy causes sleep. Exhausion generally does not cause death and one does not fall into all the other options.,sleep,sleep,sleep
"The student pulled an all-nighter before attending lecture, what did he do upon arriving?","getting bored, go to sleep, gain knowledge, use the restroom, inspiration",Going to sleep means resting with eyes closed and all-nighters make one need rest the next day. The student pulled an all-nighter before attending lecture and went to sleep upon arriving. Getting bored may cause one to go to sleep and inspiration is not an action to do. One may not do the other options the day after an all-nighter right upon arriving at a lecture.,go to sleep,go to sleep,Invalid Prediction
"Much like a jaunt on the treadmill, thinking hard and long can cause what?","depression, revelation, new thought, fatigue, knowledge","Thinking hard and long can cause fatigue. Just by thinking hard, depression cant happen. Revelation is not the result of thinking hard. New thoughts and knowledge cant come on a treadmill as treadmill is a device used for exercise, consisting of a continuous moving belt on which to walk or run.",fatigue,fatigue,fatigue
What does hitting the side of a horse cause?,"movement, fear, stiffness, running, bouncing","Hitting the side of a horse, then the horse moves. It is indication to horse to start moving. Hitting dont cause fear. Stiffness is not cause by mere hitting. Horse dont run or bounce by mere hitting.",movement,fear,movement
Why would you be unable to win when you play games?,"entertaining, distracted, bored, have fun, challenge","In a game when a challange happens, all people work equally hard to win. This challange can lead to one not winning. All the other options are not the most fesiable reason os one being unable to win hence are incorrect.",challenge,challenge,challenge
If someone has a strong feeling of greed and wants to make some quick money what might they try to do?,"play poker, dominate world, advance into battle, conquer opponent, make friends","Poker is a card game played by two or more people who bet on the value of the hands dealt to them, which is a gambling game. People with greed and the want to make quick money may do gambling like playing poker and not anything from the other options.",play poker,play poker,play poker
"The person wanted to fix his car, what did he order?","selling things, gas, feel resentful, machine part, cross street","Once can repair automobiles by replacing its ruined part. One can get new spare parts by ordering it. Selling things, feel resentful and cross street are irrelevant options. Ordering gas is not helpful in fixing one's car.",machine part,gas,machine part
The parents concern was met opposingly by what on behalf of the teacher?,"carefree, uncaring, indifference, apathy, carelessness","The parents concern was met opposingly on behalf of the teacher’s indifference as the teacher lacked interest, concern or sympathy. The teacher wouldn’t oppose the parents’ concern if the teacher was carefree, without any worries and uncaring and not sympathetic. It’s not necessary that the teacher would oppose the parents’ concern if the teacher had apathy or lack of interest. The teacher wouldn’t oppose the parents’ concern if the teacher was careless and indifferent.",indifference,carelessness,indifference
"The high rollers began playing poker, there were no blinds so they all did what?","skill, losing money, bet their shoes, ante, attention","Ante and blind are two ways in which initial money in pot is contributed in poker. If there is no blinds, people opt for ante. All the other options are not correct as they are not related to no blinds no blinds in game of poker.",ante,ante,ante
What can some day be combined to form?,"hackday, morning, twenty four, week, night","When seven days are combined together, it is called a week. All the other options are incorrect as they are not what some days combined are known as.",week,week,week
My company's auditors are extremely worried about my practices. Should I care?,"liquidated, commit crime, branch out, go for a ride, own resources","I should care if I did commit crime by misrepresenting the company’s records.An auditor the accuracy of a company’s records. I could be charged with committing a crime for maintaining inaccurate records to siphon off the company’s money or resources. If my auditors are worried with my practices, having the company liquidated or to branch out may or may not solve their concerns. To go for a ride will not solve their concerns about my practices. Managing my own resources will not solve their concerns.",commit crime,liquidated,Invalid Prediction
What holds a lit cigarette when no one is around?,"hand, cool lip, light fire, ashtray, carton","Ash tray holds a lit cigarette unlike carton. Ash tray can be used when no one in around and is a thing while hand, cool lip and lighting fire are not things.",ashtray,ashtray,ashtray
James imported ugly cabinets because they were cheap.  They wouldn't be seen so it didn't matter what they looked like.  Where might they be installed?,"kitchen, planes, mexico, bathroom, pantry",Things inside the pantry are not visible outside unlike in the kitchen. Pantry can have ugly cabinets while planes do not. Pantry is a place to store food while Mexico and bathroom are not.,pantry,pantry,pantry
Where would one find a captive monkey?,"rain forest, tree tops, toy store, zoological gardens, great outdoors",A monkey can be kept captive at a zoological garden as many animals are kept there for people to see. All the other options are incorrect as they do not have captive monkeys.,zoological gardens,zoological gardens,zoological gardens
Where would you bring a tote bag with papers in it?,"shopping cart, the garage, house, school, closet",You would bring a tote bag to the school with papers in it. Shpping cart is not a place where a tote bag can be brought. A tote bag is not needed at the garage. A tote bag containing papers is not required in a house. Closet dont require a tote bag with papers in it.,school,school,shopping cart
What is likely the mood of those going to a party?,"stress relief, have fun, happiness, babies, laughter","A party is a social gathering of invited guests involving eating, drinking, and entertainment which generally gives happiness. All the other options are not moods.",happiness,happiness,happiness
John is a human who is in a wheelchair due to an accident.  Where would he go to get to the third floor of his apartment building?,"space shuttle, detroit, stairs, downtown, elevator",Elevator is a platform or compartment housed in a shaft for raising and lowering people or things to different levels. John in wheelchair uses an elevator to get to the third floor of his apartment. Space shuttle is not used for raising and lowering people in an apartment. Detroit is a city and not a platform for raising and lowering people in an apartment. Stairs are or can be used by healthy peoples who are not disabled. John on wheelchair cannot use stairs. Downtown is an area and not a platform for raising and lowering people in an apartment.,elevator,elevator,elevator
"Sally isn't beautiful.  She looks okay, just plain. But she doesn't think so. She has image issues and thinks that she's what?","ugly, overweight, bad, average, hideous",Having image issues means thinking low of how they look and people who think low of how they look think they are ugly. Sally thinks she is ugly because of image issues. Hideous comes under ugly and the other options are not image issues.,ugly,hideous,hideous
Where would a business man keep a plane ticket with other documents?,"briefcase, boarding plane, airport, pocket, shirt sleeve",Businessmen end to carry briefcases. They keep important documents in the briefcase. Plane ticket is an important document. Boarding plane is not a place to keep plane ticket or documents. Airport is not a place to keep plane ticket or documents. Businessmen do not keep documents in the pocket. People do not keep plane ticket and documents in the shirt sleeve.,briefcase,briefcase,briefcase
John put the book in his pack and then went off to work.  Where might he be working?,"public library, backpack, briefcase, suitcase, synagogue","Those working in a place of worship such as the synagogue are required to carry the holy book which is a type of book and can be carried in a backpack. Public library, back, briefcase and suitcase are not places of worship.",synagogue,synagogue,synagogue
"The roadway had a fast speed limit, but there were children nearby, what was safety concerned for?","neighborhood, suburbs, countryside, city, subdivision","A neighbourhood has roadway speed limits but if children are nearby, they get concerned as vehicles might hurt them. All the other options usually do not have roadways or do not have speed limits whch still are concern for people with children.",neighborhood,neighborhood,neighborhood
"It was a cold morning, so staying staying in bed brought warm what?","resting, comfort, stubborn, bed sores, missing out",Comfort can be received by staying in bed. Since it was a cold morning so staying staying in bed brought warm comfort. Resting cant be warm. Staying in bed is not stubborn. Bed sores arent warm. Missing out is not warm when a person stays in bed in a cold morning.,comfort,comfort,comfort
"The beaver swam through the country he symbolized, where was he likely to be?","japan, ontario, washington, woodlands, books",Beaver is the official emblem of Canada and Ontario is a Canadian province so beaver is likely to be there after swimming through the country. All the other options are not countries.,ontario,ontario,ontario
What does watching something entertaining cause people to have?,"they cant watching recognize and hospitality, talent, recognize, fun, intelligence",people have fun while watching something entertaining.you cannot have hospitality by watching something entertaining.people cannot have talent by watching entertainment programs always.watching entertainment program doesnt make you recognize something. watching entertainment program doesnt make you have intelligence.,fun,fun,fun
"The employees were complaining about lack of air conditioning, so where did the boss decide to install it?","on the tables, movie theatre, offices, car, house",Employees are people who work in offices and they were complaining about lack of ACs so the boss decided to get them installed in the offices. Table is a furniture and air conditioners cannot be fit on furniture and employees do not work in the places given by other options.,offices,offices,offices
"After I urinate and flush the toilet and wash my hands, what should I do next?","flush toilet, dry hands, zip pants, eat, wash hands",You should eat after urinating and washing hands. A person will not flush toilet again and again after washing hands. It is not necessary to dry hands as hands can be wiped off with towel. Person might not zip pants. A person will not wash hands again and again.,eat,eat,eat
"Despite doctor's orders, she ate breakfast in bed, what did she feel?","happiness, feel guilty, weight gain, spills, indigestion",eating breakfast in bed can cause indigestion if you have digestion issues.One cannot feel happiness when she has digestion issue and eat breakfast in bed. person may feel guilty but after getting indigestion due to eating on bed.you dont feel weight gain by eating on bed. Spill is not feeling,indigestion,indigestion,indigestion
"Billy wants to learn how to socialize, but he doesn't know where to start.  He calls his best friend and asks for what?","have friends, meet new people, entertainment, input, friendship","Input is the very first or initial step before doing any kind of work. As Billy wants to learn how to socialize, but he doesn't know where to start so he calls his best friend and asks for the input. To have friends he didnt calls his best friend. Friendship is not an initial stage to socialize. He didnt call his friend to ask for entertainment. Billy is learning how to socialize not because he wants to meet new people.",input,input,input
Where can you find the most authentic Japanese restaurant?,"downtown, major city, california, stripmall, tokio","Tokyo is Japan’s busy capital, mixes the ultramodern and the traditional. We can find the most authentic Japanese restaurant in Tokyo. Downtown and Major city also does not indicate or make clear about the name of the city. California and Strip mall both are in U.S and America does not have a Japanese culture to have the most authentic Japanese restaurant.",tokio,tokio,tokio
"The student was attending a lecture on engineering, what was he hoping to do?","become smartet, inspiration, gain knowledge, go to sleep, gaining knowledge",Gaining knowledge means to learn about something which one does during a lecture. So the student attended a lecture on engineering hoping to gain knowledge. Inspiration is not an action to do and don't won't attend lectures to go to sleep. To gain knowledge includes the other options.,gain knowledge,inspiration,gain knowledge
Where can you store candy to keep it from going stale?,"trunk of car, jar, movies, disneyland, supermarket",Jar is a container to store things. Candy can be stored in a jar which can be kept in the pantry unlike the trunk of car or supermarket.,jar,jar,jar
"When millions are piled up they can be a hassle, but a snowflake is quite beautiful when it is falling through the what?","sky, cloud, snow storm, air, winter","Through air, things might fall. When millions are piled up they can be a hassle, but a snowflake is quite beautiful when it is falling through the air. Winter dont fits here. A snowflake fall from the sky but not through the sky. Snowflake is not falling through the cloud. Snow storm might not cause to happen a snowflake.",air,snow storm,air
Where would you go to argue about important bills?,"mail box, the post office, congress, restaurant, trash",Congress is a national legislative body which decides the laws of a country. Important bills are drafts of proposed law so one would go to the congress to argue about important bills. All the other places are not where law is argued about.,congress,congress,congress
"They needed human to act out motion capture, what were they producing?","university, movies, actors, cafe, movie theatre",They needed human to act out motion capture in producing movies. They were producing movies in which humans needed to act out motion capture. University is not true as it is not an act of motion capture. Actors are who act in movies and are the part to act out motion capture but are not being produce. Café is not true as it is not an act of motion capture. Movie theatre is not true as it is not an act of motion capture.,movies,movies,movies
James crushed his paper coffee cup and then left it in its proper place.  Where might he have left it?,"coffee, desk, starbucks, cupboard, trash",James crushed his paper coffee cup into trash. Trash is used to keep watse material. Other options are not suitable places to leave a crushed paper coffee cup.,trash,trash,trash
"She really enjoyed to make bread, because when you made your own it was always what?","fresher, healthier, i'm hungry, eat bread, tastes better than storebought","When a person makes their own bread, they are fresher. All the other options are not a quality of bread.",fresher,fresher,fresher
What country is a marmoset from?,"rainforest, france, trees, wilderness, mountains",France is a country and marmoset is modern day monkey species from France. All the other options are wrong as they are not a country.,france,france,france
Death Valley is in the North American what?,"country, continent, west virginia, mountainous region, mountainous area",Death Valley is in the North American continent. West virginia is not in North America. Death Valley is not in North American mountanious area. You cannot found Death Valley in North American country. Death Valley is not located in the mountainous region of North America.,continent,continent,continent
Where might a chess set outside get frozen?,"michigan, dorm, cupboard, toy store, snow","Michigan is a cold place unlike a toy store. Michigan is a state while dorm, cupboard and snow are not. Things can get frozen when outside in Michigan.",michigan,michigan,michigan
What is required when someone is typing?,"think, nice keyboard, digital dexterity, speed, pressing keys","When someone is typing, they require pressing keys. By thinking, someone cant type. Nice keyboard is not a correct option. Digital dexterity is not required during typing. Typing may not require speed.",pressing keys,pressing keys,pressing keys
Where are very high tech computers found?,"house, library, office, space shuttle, desktop",Very high tech computers are found in a space shuttle because the computers are made with superior processors to process higher volumes of information at great speeds. People use personal computers and not high tech computers at their house. A library does not house high tech computers as libraries don’t process high volumes of information at great speeds. An office will have networked computers and not high tech computers. Desktops can’t accommodate large high tech computers.,space shuttle,space shuttle,space shuttle
"He put in a mighty effort to his solution, but a better one was discovered making his what?","unimportant, innovative, insignificant, helpless, powerless","As a new solution came, even after his efforts, his solution was useless which made it unimportant. All the other options do not signify what happened to his solution and hence are incorrect.",unimportant,unimportant,unimportant
The faithful believe that when they're praying they are doing what?,"knell, kneel down, talk to god, talking to god, ask for help","When someone prays, he talks to god. It is not necessary that you kneel down or ask for help while praying. It is not necessary that knell rings while praying. Talk to god doesnt fits here because it is not in present continuous tense.",talking to god,talking to god,Invalid Prediction
Where is texas located?,"mexico, texaphyrin, united states, southwest, gulf states",Texas is located in united states. Texas is not located in mexico as mexico is a country in north america. Texaphyrin is a type of molecule where texas cant be located. Texas isnt located in the southwest. Texas is located nearby gulf states.,united states,united states,united states
"All people need to move, otherwise what will atrophy?","feelings, shrink, free will, muscles, parents",Muscle atrophy is usually caused by lack of physical activity. Other options does not results into atrophying if not moved.,muscles,muscles,muscles
Where did the farmer send the heifer to make money when she was no longer useful to the farm?,"sanctuary farm, cow pasture, countryside, cattle ranch, slaughterhouse",Slaughterhouse is a place where animals like heifers are sent when they're no longer useful to farm to be murdered for their flesh. Farmer sent heifer to slaughterhouse to make money when she was no longer useful to farm. Enslaving and exploiting animals like heifers is wrong as they want to be free. Heifers aren't sent to places in all other options once they aren't useful to farm.,slaughterhouse,slaughterhouse,slaughterhouse
Where would a marmoset be out of place?,"warm climate, france, burrow, shopping mall, great outdoors","Out of all the options, the most out of place for a marmoset is a shopping mall as it has shops for shopping. All the other options can have a marmoset.",shopping mall,shopping mall,shopping mall
"The receiver had another drop, on the sideline his coach begged him to just make one what?","picking up, catch, lift up, pick up, more mistake",coach begged to receiver to do catch once as he dropped before as one catch can take wicket and can make them win.Picking up the ball doesn't do anything to win. Coach doesn't beg for lift up or to pick up. Coach doesn't want moremistake,catch,pick up,picking up
what does someone start playing guitar to do?,"listening to music, making music, arthritis, obesity, singing",A guitar is a musical instrument which when played produces music hence when it is played it is making music. All the other options are incorrect as they are not what happens when one plays guitar.,making music,making music,making music
"The man had been drinking alcohol, when he caused a disturbance he was arrested for public what?","vomiting, toxicity, nausea, intoxication, frequent urination","Public intoxication happens when drunk man causes disturbance to public and it is lawaful offense that man gets arrested.man doesn't get arrestedfor vomitting,toxicity,nausea or frequent urination.",intoxication,vomiting,intoxication
"They burned the record, they were trying to do what to history?","compact disc, tape, rewrite, play music, erase","As they were trying to erase the history, hence, they burned the records. History isnt kept in the compact disc or tape. They were not trying to rewrite history. Play music dont suits with the sentence.",erase,erase,erase
Where would you put a wooden rod after buying it if you do not have any clocks?,"hardware store, old houses, clock shop, connecting pieces of wood, old clock",Old houses are the best places where you can put wooden rod. If you do not have any clocks then you would put a wooden rod in old houses after buying it. You cant put a wooden rod after buying it in a hardware store. A wooden rod cant be put at clock shop. Connecting pieces of wood or old clock is not a place where wooden rod can be kept.,old houses,old houses,old houses
A person who yawns and paces to help pass the time is likely feeling what?,"ridiculous, excitement, meanness, terrorism, boredom","People tend to yawn when they have sleepy and have nothig to do. Pacing to help pass time means the person has nothing to do. People who are bored, often yawn and pace to pass time. People usually do not yawn or pace when they are feeling ridiculous. People generally do not yawn with excitement. Meanness and terrorism are not represented by yawning and pacing.",boredom,boredom,boredom
"The kids showed excitement getting ready and getting in the car, they were ready to what?","express information, go somewhere, dance, library, fix the car",A person can go somewhere by getting ready. Kids showed excitement getting in the car as they were ready to go somewhere. The kids dont express information to show excitement. They cant dance by getting in the car. Kids might not show excitement in library. They were not ready to fix the car.,go somewhere,go somewhere,Invalid Prediction
What is a great place to lay in the sun?,"in the basement, west, solar system, beach, beans","Beach is a great place to lay down. There is full sun visible at beach. In basement, there is no sun. West or beans is not a place. One cant lay in solar system.",beach,beach,beach
